id_check,id_supply,count
3214,236,3
1495,911,6
333,364,2
1766,726,5
3891,902,5
750,133,6
2733,241,3
3462,496,3
3762,199,1
1244,971,6
424,71,6
943,155,3
2006,620,4
2641,48,6
2226,202,1
77,947,5
2967,90,5
1231,908,3
1282,119,2
2270,641,5
38,56,3
2809,612,1
2285,474,6
2010,563,1
3287,833,2
1817,974,2
3972,137,5
1359,853,3
2189,863,4
1595,619,3
891,141,2
1710,330,3
575,129,6
1099,338,5
2920,282,6
815,751,6
210,794,1
1958,57,5
2979,68,2
1,866,3
1729,945,4
1169,740,6
2510,19,1
1436,55,1
731,974,3
3684,224,4
958,42,5
1002,704,6
381,370,4
1656,657,5
1370,47,2
2698,661,4
2940,621,3
2671,432,6
3399,585,3
2382,893,6
958,825,4
2290,267,2
1269,361,1
774,196,4
753,111,4
2077,469,4
3219,353,1
2838,617,5
1641,629,6
1701,650,2
3059,573,1
975,164,3
3109,971,4
3218,852,2
2291,754,6
1580,219,5
1168,788,1
2379,815,4
2117,307,4
1494,247,3
1688,90,5
440,82,3
2926,118,5
745,169,5
1698,62,1
695,765,3
1495,480,3
582,936,5
2943,239,4
506,224,6
1133,464,4
2465,768,2
3983,166,3
465,485,5
2542,266,4
950,203,4
1360,830,3
115,493,2
3018,308,6
2961,923,4
2247,366,5
63,448,4
2844,378,1
1951,356,6
1878,908,1
825,769,4
445,569,1
1936,356,2
3586,294,5
199,635,2
3429,109,4
3811,849,3
1885,801,1
3991,880,5
3870,83,2
2044,733,2
2028,426,1
2103,752,4
98,120,1
790,705,3
1145,267,6
291,956,6
1452,170,1
145,107,6
859,701,5
2753,977,5
1911,293,4
3933,188,6
2354,563,6
2871,486,4
3596,279,3
1934,112,4
3519,586,5
2299,743,6
2752,61,4
880,656,4
1607,172,2
1150,315,6
2642,135,4
3005,563,5
2277,369,5
877,941,6
2358,111,2
543,330,4
1294,862,6
2789,131,2
797,304,5
230,898,4
3773,507,4
2146,968,1
924,651,1
618,765,3
2232,521,5
2487,627,4
3063,44,2
491,202,3
3725,608,4
3046,184,3
846,146,6
1138,554,4
1967,115,3
1903,289,5
2141,514,3
2886,149,1
804,839,2
1374,861,4
3343,228,1
3348,587,3
2470,456,4
2718,772,4
905,602,6
3962,507,6
1952,436,6
1480,437,4
3401,151,4
2213,432,1
2671,439,1
711,241,6
3654,132,3
1303,919,3
3498,915,2
1519,957,3
2667,875,5
124,504,2
682,397,5
3579,805,5
2701,704,1
1924,878,1
3956,793,4
1181,491,5
936,274,6
1528,100,2
2802,160,4
2929,136,4
1674,244,4
3618,110,6
3655,316,1
1279,613,2
941,51,5
1374,916,2
1056,681,6
2597,75,5
1034,349,6
757,3,5
3512,659,6
101,190,5
3859,94,3
3036,862,5
270,247,5
